id,trigger,conditions,script,text,options,notes
"#RULESET_NAME VSE",,,,,,
,,,,,,
# VINDAC Fleet Greeting Lines,,,,,,
greetingVINDACFriendly,OpenCommLink,"$faction.id == vse_vindac
$faction.friendlyToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""VSEI codes received and confirmed, moving to secure channel."" $PersonPost $personLastName briefly checks the monitor at $hisOrHer side. ""Hope the Exiles haven't been too much of a problem for you $playerSirOrMadam - If they have, you know we can always back you up when needed."", the $PersonPost says before cutting the comms.",,
greetingVINDACNoComms,OpenCommLink,"$faction.id == vse_vindac
$entity.ignorePlayerCommRequests score:10000","ShowDefaultVisual
EndConversation NO_CONTINUE","< STATIC > (Seems they aren't allowing comms to go through)",,
greetingVINDACTOffNormal,OpenCommLink,"$faction.id == vse_vindac
!$player.transponderOn
$entity.relativeStrength >= 0",,"""This is $PersonPost $personName of the $thePersonFaction, you are in Void Sakura Empire controlled space, turn on your transponder and identify yourself!""","turnOnTransponder:Turn your transponder on
cutCommLink:Cut the comm link",
greetingVINDACTOffWeaker,OpenCommLink,"$faction.id == vse_vindac
!$player.transponderOn
$entity.relativeStrength < 0",,"""This is $PersonPost $personName of the $thePersonFaction, you are in Void Sakura Empire controlled space, I hereby request you to turn on your transponder so we can identify you.""","turnOnTransponder:Turn your transponder on
cutCommLink:Cut the comm link",
greetingVINDACHostileWeaker,OpenCommLink,"$faction.id == vse_vindac
$entity.isHostile
$entity.relativeStrength < 0","$ignorePlayerCommRequests = true 1","""Hostile $shipOrFleet, be advised: we've dispatched a distress signal to a nearby patrol which should arrive shortly.""","cutCommLink:Cut the comm link",
greetingVINDACHostileWeakerDefiant,OpenCommLink,"$faction.id == vse_vindac
$entity.isHostile
$entity.relativeStrength < 0
$entity.weakerThanPlayerButHolding","$ignorePlayerCommRequests = true 1","The hostile fleet's $PersonPost looks uncertain, yet defiant. ""We will not go down without a fight,"" $heOrShe says.
OR
""Everybody to combat positions, may the Godess' praise be upon us!"" $PersonPost $personName announces through the intercom, accidentally also broadcasting it through the comms link before shutting it off.","cutCommLink:Cut the comm link",
greetingVINDACHostileStronger,OpenCommLink,"$faction.id == vse_vindac
$entity.isHostile
$entity.relativeStrength >= 0","EndConversation","""Your terror against the $thePersonFaction will end here captain!"", $PersonPost $personName says before cutting off comms and ordering all ships into battle positions.",,
greetingVINDACNeutral,OpenCommLink,"$faction.id == vse_vindac
$faction.neutralToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""You have been scanned and identified. If you do not have anything important to report I request you to be on your way. We have more important matters to attend too.""",,
greetingVINDACInfamous,OpenCommLink,"$faction.id == vse_vindac
$player.atrocities > 1
RollProbability 0.3 score:2
$faction.neutralToPlayer","#$recognizedAsInfamous
AdjustRepActivePerson INHOSPITABLE -5","""You have been scanned and-..."" $HeOrShe blinks at $hisOrHer screen, then says almost - but not quite - under $hisOrHer breath, ""$playerName. It's..You..."" 

$HeOrShe fixes $hisOrHer posture, ""I suggest keeping your distance. We are well armed and do not plan to pass off into the void today.""
OR
As the comms seemingly fix themselves, $PersonPost $personLastName recognizes you from all over the net.

""It's... you. The things you've done, I can't believe-"" $heOrShe clears $hisOrHer throat uncomfortably, ""What do you want with us?""",,
greetingVINDACInfamousFriendly,OpenCommLink,"$faction.id == vse_vindac
$faction.friendlyToPlayer
$player.atrocities > 1
RollProbability 0.3 score:2","$menuState = fleetConvMain 0
FireAll PopulateOptions","""Ah, Captain $playerName."" $HeOrShe looks uneasy. ""Your reputation... precedes you. We are not searching for any trouble so state your business with us and we'll be on our way..""",,
"#END VINDAC Fleet Greeting Lines",,,,,,
,,,,,,
# VINDAC Faction Relation Description,,,,,,
VINDAC_CooperativeDescAttrocity,RelationshipLevelDesc,"$faction.rel == COOPERATIVE
$faction.id == vse_vindac
$player.atrocities > 1",,"As a renowned member of $theFactionLong, your influence within is unshakeable and you are as respected as you are feared. Throughout the Void Sakura Empire, glasses are raised in your name, though some prefer not to openly do so following some of the more questionable actions you have comitted in the sector.",,
VINDAC_CooperativeDesc,RelationshipLevelDesc,"$faction.rel == COOPERATIVE
$faction.id == vse_vindac
$player.atrocities < 2",,"As a renowned member of $theFactionLong, your influence within is unshakeable. Throughout the Void Sakura Empire, glasses are raised in your name with pride and chanting.",,
VINDAC_FriendlyDesc,RelationshipLevelDesc,"$faction.rel == FRIENDLY
$faction.id == vse_vindac
$player.atrocities < 2",,"Being on good terms with $theFactionLong, your influence is starting to be noticed. Throughout the Void Sakura Empire stories are being shared by a reputable captain that might just be able to rise higher through the ranks.",,
"#END VINDAC Faction Relation Description",,,,,,
,,,,,,
# VSE Fleet Greeting Lines,,,,,,
,,,,,,
"#END VSE Fleet Greeting Lines",,,,,,
,,,,,,
# ER Fleet Greeting Lines,,,,,,
NEW RULE,,,,,,
"#END ER Fleet Greeting Lines",,,,,,

