id,type,text1,text2,text3,notes,Column 07,Column 08,Column 09,Column 10
#FACTIONS,,,,,,,,,
vsEmpire,FACTION,Void Sakura Empire TEST,,,,,,,
vse_vindac,FACTION,"The Void Internal Night Defense/Assault Corp or V.I.N.D.A.C. is an elite mobile response and defense unit commanded by First General Rugg ""Bloodstone"" Koyashi. Its inception came about in response to a new mutation in Void Dragons allowing them to attack in the dead of night and sneak past DDZs (designated defense zones). Their armory is made up of fast, durable mechanized and airborne units meant to get in fast and hunker down to secure and repel a position, while their name suggests that they are limited to night time only activity they, it is more an indication for others to not fight them around that time of they, as they are deployed during any time of the day protecting Konta, along with the 32nd Mechanized- and 21st Infantry Guard Regiments, as well as other assets of the Void Sakura Empire throughout the sector as they take up most of the empire's main defensive battlegroups.

V.I.N.D.A.C. is split up into a hierarchy due too its size: The Corp > 2 Legions > 2x 2 Battalions. One of these legions is Rose Legion, in which the renowned 514th Recon Battalion codenamed Xenon find themselves. They act as the corp's main reconnaissance unit, and were deemed so profound at it, that General Bloodstone himself chose Xenon to be in charge of their recon fleets throughout the sector.

Of course the General himself also needed a unit, for he is not one to just sit behind a desk and command units from the safety and comfort of a command bunker. Because of this, the command unit codenamed Titan Squad was brought to life, which in turn again existed out of their own sub-units, though a bit different from any others as these were the elite specialist units: 
- The recon/overwatch specialist unit, Shadow Company, who are tasked with the more sensitive and [REDACTED] scouting missions as well as being in control of the early-warning system in case of incoming threats to the Void Sakura Empire's key assets in the sector. They will always be present when one of these assets comes under attack, indicating its importance.
- The mechanized pursuit unit, Shield Company. The name sounds kind of ironic, since shields are usually for defensive purposes. In this case however it is an indication of the advanced technology used on the mechanical units within the company that not only makes them fast enough to intercept anyone trying to escape the corp, but also plated with special armor that is light in weight as to not rip into Shield Company's pursuit speed.",,,,,,,
vse_exileRepublic,FACTION,"A theocratic Republic devoted to the ""restoration of the Goddess' free will"".",,,,,,,
,,,,,,,,,
#ADDED PLANETS,,,,,,,,,
vnc_gas_giant_reg,PLANET,"Primarily composed of hydrogen and helium gases. The temperature and pressure at the core are extreme, but not enough to sustain the deuterium fusion that would turn the planet into a brown dwarf star.",,,,,,,
vnc_gas_giant_venusian,PLANET,"Primarily composed of hydrogen and helium gases. The temperature and pressure at the core are extreme, but not enough to sustain the deuterium fusion that would turn the planet into a brown dwarf star.",,,,,,,
vnc_gas_giant_argon,PLANET,"Primarily composed of argon gases. The temperature and pressure at the core are extreme, but not enough to sustain the deuterium fusion that would turn the planet into a brown dwarf star.",,,,,,,
vnc_gas_giant_chlorine,PLANET,"Primarily composed of chlorine gases. The temperature and pressure at the core are extreme, but not enough to sustain the deuterium fusion that would turn the planet into a brown dwarf star.",,,,,,,
vnc_gas_giant_helium,PLANET,"Primarily composed of helium gases. The temperature and pressure at the core are extreme, but not enough to sustain the deuterium fusion that would turn the planet into a brown dwarf star.",,,,,,,
vnc_lava_major,PLANET,"A geologically unstable planet without a permanently formed crust. Glowing fissures and active volcanoes litter the surface, the magma they spew forth combining to form flows that travel hundreds of kilometers across the charred surface.",,,,,,,
vnc_icy,PLANET,"Water or ammonia ice is the primary surface feature of this world. Below the surface, there may be a liquid ocean or a rocky crust.",,,,,,,
vnc_martian,PLANET,Radiation from the nearby star ravages the surface of this world due to the lack of an atmospheric ozone layer. No significant geological activity. No indigenous life forms.,,,,,,,
